producto_id,categoria,nombre_producto,aseguradora,estado_aseguradora,perfil_objetivo,elegibilidad,estado_elegibilidad,precio,estado_precio,exclusiones,estado_exclusiones
VIAJE-01,Personal y Familiar,Asistencia médica en viajes,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Viajeros con fecha/destino definidos que desean respaldo médico y de asistencia 24/7.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Depende de destino, duración, edad, viajeros y cobertura; no hay tarifa pública fija revisada.",verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
ASMULT-01,Personal y Familiar,Asistencias múltiples,GEA aparece como aliado/prestador.,verificado,Hogares que valoran un paquete económico de ayuda cotidiana y emergencias menores.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 20.000 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
HOGAR-01,Hogar,Seguro para el hogar y su contenido,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Propietarios o arrendatarios que desean proteger vivienda, contenido y continuidad del hogar.","NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
ARRENDA-01,Hogar,Seguro de arrendamiento Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Propietarios que quieren protección ante impago y arrendatarios que requieren respaldo para acceder al inmueble.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
CARRO-01,Movilidad,Seguro para carro Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Propietarios/conductores que desean cubrir daños, hurto, responsabilidad y asistencia.","NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
MOTO-01,Movilidad,Seguro para moto Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Motociclistas, especialmente quienes usan la moto para trabajo y requieren movilidad/RC.","NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
BICI-01,Movilidad,Seguro de bicicleta y patineta,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Usuarios de bici, scooter o patineta que desean protección frente a hurto/daño y terceros.","NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
SOAT-01,Movilidad,Seguro obligatorio de accidentes de tránsito (SOAT),"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Propietarios de vehículos obligados a mantener SOAT vigente.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Tarifa regulada por categoría del vehículo y vigencia; no usar precio genérico.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
PET-SEG-01,Mascotas,Seguro para perro y gato,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"Tutores que buscan respaldo ante urgencias, enfermedad, accidente y daños a terceros.","NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
PET-PREP-01,Mascotas,Medicina prepagada para mascotas,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Tutores que prefieren acceso frecuente a red veterinaria y costos previsibles.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Precio público revisado: gatos desde COP 81.800/mes y perros desde COP 96.600/mes.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
PET-ASIS-01,Mascotas,Asistencia veterinaria,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Tutores que buscan apoyo básico de bajo costo y orientación 24/7.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Planes publicados desde COP 14.500 mensuales.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
DEUDOR-VIDA-01,Crédito,Seguro de vida deudor Colsubsidio,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Titulares de crédito que deben proteger el saldo y a sus herederos/beneficiarios.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Prima calculada dentro del crédito o sobre saldo/valor asegurado; falta fórmula vigente.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
DESEMP-01,Crédito,Seguro de desempleo Colsubsidio,Pan-American Life aparece en la información pública del producto/proceso.,verificado,Empleados con riesgo de desempleo involuntario e independientes con riesgo de incapacidad temporal.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Prima asociada a la línea de crédito; fórmula no disponible públicamente.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
INCENDIO-DEUDOR-01,Crédito,Seguro de incendio deudores,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Deudores hipotecarios obligados a proteger el inmueble dado en garantía.,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo,Prima asociada al valor asegurable y crédito; fórmula vigente no disponible.,verificado,"NO DISPONIBLE EN FUENTES PÚBLICAS REVISADAS. Se requiere el catálogo comercial vigente, certificado individual, condiciones particulares o confirmación escrita de Colsubsidio/aseguradora.",supuesto_demo
